,Neighborhood,Latitude,Longitude
0,BEDOKVILLE,1.32368059857,103.947565974
1,BRADDELL HEIGHTS ESTATE,1.34910579671,103.86504572
2,BUKIT LOYANG ESTATE,1.36105552997,103.964244914
3,CAPITOL PARK,1.32871334683,103.817978205
4,CASHEW GREEN,1.37303905903,103.770301318
5,CASHEW VILLAS,1.37182670906,103.768708675
6,CHANGI HEIGHTS,1.36293728687,103.97353199
7,DEFU INDUSTRIAL ESTATE,1.35877349271,103.894808605
8,DUNEARN ESTATE,1.32353198305,103.820569511
9,EAST COAST HILL,1.31693439906,103.935361984
10,EAST COAST PARK,1.31396064071,103.923442052
11,EDEN PARK,1.33093472968,103.792613639
12,ELIAS TERRACE,1.37176160861,103.942922198
13,ESTE VILLA,1.38218509253,103.864427984
14,FABER HILLS,1.32062382686,103.760430498
15,FIVE CHANCERY,1.31858647022,103.836751695
16,FRANKEL ESTATE,1.31210819607,103.918970789
17,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401
18,HDB PUBLIC SHELTERS,1.35881539049,103.935939962
19,HDB-BUKIT MERAH,1.27907853357,103.826785281
20,HDB-CHOA CHU KANG,1.38020695576,103.74813763
21,HDB-HOUGANG,1.37543488476,103.893743438
22,HDB-PASIR RIS,1.3775792686,103.940659585
23,HDB-TAMPINES,1.35604416362,103.962576038
24,HDB-WOODLANDS,1.44640891218,103.772202484
25,HILLCREST VILLA,1.32811330712,103.805575496
26,HOLLYWOOD APARTMENTS,1.29651687408,103.842807025
27,KEMBANGAN ESTATE,1.32584785122,103.907455946
28,KEW PLACE,1.32092588269,103.951190611
29,KIM LIN PARK,1.30183557783,103.827220118
30,KIMSIA PARK,1.30538016068,103.83413285
31,LAUW AND SONS GARDEN,1.34966516885,103.846467153
32,LOYANG VILLAS,1.36331539503,103.966641322
33,LUCKY HILL,1.32505641818,103.946794406
34,MIMOSA TERRACE,1.38328387086,103.859861192
35,MULTI STOREY CAR PARK,1.33592015662,103.934445714
36,OPERA ESTATE,1.32047546127,103.926446786
37,PASIR RIS BEACH PARK,1.38172354846,103.945355286
38,PAVILION PARK,1.36956175141,103.752960972
39,POETS VILLAS,1.38175786767,103.828364589
40,RIVERFRONT RESIDENCES,1.37187620671,103.900585936
41,SEA VIEW PARK,1.30095352535,103.895606041
42,SEASIDE PARK,1.3097148597,103.920345651
43,SELETAR HILLS ESTATE,1.38339323105,103.875765601
44,SEMBAWANG HILLS ESTATE,1.37180279351,103.829675259
45,SEMBAWANG PARK,1.42827954723,103.826496803
46,SEMBAWANG SPRINGS ESTATE,1.43823358315,103.825988938
47,SENNETT ESTATE,1.33265935238,103.87277807
48,SERANGOON GARDEN ESTATE,1.37018103226,103.867599208
49,SERANGOON PARK,1.34693863697,103.866325767
50,SPRINGLEAF GARDEN,1.39845067204,103.824212241
51,SUMMER GARDENS,1.33113140514,103.950431883
52,SUNRISE VILLA,1.38758979332,103.855810857
53,THE LILIUM,1.3458306098,103.881021334
54,WESSEX,1.29343583781,103.798140146
55,WEST COAST GARDENS,1.31649806364,103.754820819
56,WESTWOOD PARK,1.35166839928,103.699963267
57,YONG SENG ESTATE,1.32796489168,103.91592688
0,3BHC,1.35642828993,103.832513096
1,68 DUXTON,1.27799599033,103.84290697
2,ACETECH CENTRE,1.28493555838,103.80891848
3,AIRLINE HOUSE,1.37716302165,103.99729402
4,ANG MO KIO INDUSTRIAL PARK 2,1.37561772251,103.860945146
5,APOLLO GARDENS,1.34021453971,103.958898294
6,AQUEEN HOTEL - BALESTIER,1.3252259839,103.849916613
7,ASIA STAR HOTEL,1.30850305926,103.854725503
8,Achievia Education Hub LLP,1.28115303287,103.828856189
9,Al - Amin Pre-School,1.35453749247,103.959635697
10,BAN GUAN PARK,1.32232695454,103.785761642
11,BARTLEY BIZ CENTRE,1.33932843628,103.911487776
12,BARTLEY VILLAS,1.34482760746,103.877730141
13,BAYSHORE PARK,1.31104265591,103.937387726
14,BEDOK PARK,1.3216535407,103.950704056
15,BEDOK PESARI,1.32483894898,103.954732658
16,BEDOK RIA,1.32760202083,103.951411645
17,BEDOK SHOPPING COMPLEX,1.33112402497,103.948107496
18,BELGRAVIA PARK,1.38255068508,103.869658777
19,BELGRAVIA VILLAS,1.37957872159,103.865513689
20,BENDEMEER LIGHT,1.31499138887,103.860505386
21,BIZTECH CENTRE,1.32600649566,103.879166965
22,BLOCK D,1.30901050949,103.873819974
23,BLOSSOM GARDENS,1.34518469271,103.87628776
24,BOON LAY GARDENS,1.34326615073,103.715411867
25,BOON TONG SAN TEMPLE,1.35076400709,103.721625988
26,BUANGKOK WOODS,1.38509763571,103.883639795
27,CABANA,1.38827814675,103.854984856
28,CAMDEN PARK,1.32930287253,103.816634465
29,CAMELIA PARK,1.38839367542,103.860820002
30,CAMELODGE,1.31316934204,103.929305198
31,CASHEW ESTATE,1.37158281989,103.765948904
32,CATHAY GARDEN,1.30906459638,103.919634417
33,CHANGI CAMP,1.38527662182,103.980234743
34,CHANGI PRISON COMPLEX (CLUSTER A),1.35803391109,103.971332452
35,CHARLTON PARK,1.35630351056,103.886193503
36,CHELSEA VILLAGE,1.27933118481,103.790366039
37,CHENG SAN PUBLIC LIBRARY,1.37253315637,103.89388346
38,CHENG SOON GARDEN,1.33635265557,103.772971408
39,CHIP BEE GARDENS,1.30873321256,103.799289257
40,CHIP HOCK GARDENS,1.32086936061,103.812843697
41,CHURCH OF THE DIVINE MERCY,1.38019364961,103.935990573
42,CITIBANK Esso Bedok North,1.32829323057,103.939594015
43,CITIBANK Jurong East,1.33505635093,103.739883468
44,CITIBANK Westgate,1.33429478931,103.74272211
45,CITY VUE @HENDERSON,1.28696720363,103.821708097
46,CLEMENTI CASCADIA,1.31623681443,103.763565191
47,CLEMENTI CREST,1.31275318859,103.764157271
48,CLEMENTI GREEN,1.3239137089,103.773292146
49,CLEMENTI NEIGHBOURHOOD POLICE POST,1.31196690928,103.764127181
50,COASTAL BREEZE RESIDENCES,1.37816740381,103.957248234
51,COMFORT GARDEN,1.37771148151,103.747462089
52,COMPASSVALE BEACON,1.38452262213,103.899761738
53,COMPASSVALE HAVEN,1.39269343697,103.899877418
54,CONSULATE OF THE REPUBLIC OF ESTONIA,1.32803882403,103.74833757
55,CORAL PARK,1.35400360088,103.843107252
56,D' MANOR,1.33018927046,103.946554451
57,D- MANSIONS,1.30868054802,103.895038487
58,DAISY TERRACE,1.34411999624,103.86785648
59,DAKOTA RESIDENCES,1.30637270876,103.88708549
60,DALLA VALE,1.40066950582,103.823236448
61,DBS Empress Road,1.31624574394,103.80563642
62,DBS Resorts World Sentosa Level 1 Visitor Centre,1.25711820634,103.820349611
63,DUCHESS GARDEN,1.32353421866,103.801339494
64,DUCHESS PLACE,1.3248090918,103.802276499
65,DUNEARN ROAD HOSTELS,1.32385776072,103.815751677
66,DYNASTY GARDEN,1.32332791092,103.792045625
67,EASTLACE @ CANBERRA,1.44631122879,103.829416902
68,EATON PARK,1.388099819,103.877423238
69,ECHELON,1.29082513016,103.818331479
70,ECO,1.32380048652,103.945359804
71,ENTERPRISE 10,1.33381876464,103.703186936
72,EQ EDUCARE PTE LTD,1.38510079808,103.745553846
73,EUNOS GROVE,1.33302040889,103.917037781
74,EUNOS MRT STATION  (EW7),1.31978354779,103.903225813
75,EUNOS VISTA,1.33067394378,103.908738351
76,EVAN LIM WAREHOUSE,1.33552483663,103.896005636
77,EVANIA,1.35030810243,103.879055586
78,EXCELSIOR GARDENS,1.32459346539,103.951955776
79,FABER GARDEN,1.3632831539,103.828986107
80,FENGLI GARDENS,1.34841380492,103.879919409
81,FENGSHAN GREENVILLE,1.32991427422,103.940310513
82,FERNHILL COTTAGE,1.31334981401,103.823272039
83,FIDELIO RESIDENCE,1.31866907316,103.921431018
84,FLORA EAST,1.31433769178,103.905621178
85,FONG YUN THAI BUILDING,1.3278176677,103.789744279
86,FORT CANNING MRT STATION  (DT20),1.29248123653,103.84433106
87,FURAMA RIVERFRONT SINGAPORE,1.28769285608,103.836160045
88,Foochow Methodist Church Kindergarten,1.30894458071,103.851699022
89,GEYLANG BAHRU VILLE,1.32066445696,103.869914604
90,GILSTEAD 68,1.31879326973,103.84101457
91,GLENFIELD APARTMENTS,1.31490365403,103.908065775
92,GOLDEN HILL ESTATE,1.35536360021,103.86531874
93,GOLDLEAF GARDENS,1.3118155814,103.915454976
94,GOOD SHEPHERD LOFT,1.31516025986,103.836614586
95,GRANDIOSO 8,1.35503825623,103.83319893
96,GREEN HILL ESTATE,1.37040914857,103.771752334
97,GREENLAND CHILDCARE PTE. LTD.,1.32129654809,103.870736246
98,GREENWOOD MEWS,1.33693547524,103.805452259
99,HAMILTON PRESCHOOL,1.45599868966,103.81397174
100,HAPPY ESTATE,1.37759415245,103.830378541
101,HARVEY VIEW,1.34132495505,103.954115583
102,HAWKER CENTRE (BLKS 79/79A CIRCUIT ROAD),1.32550690557,103.884919752
103,HDB-BEDOK,1.3297289958,103.938081273
104,HDB-BUKIT PANJANG,1.37831242121,103.767763309
105,HDB-CLEMENTI,1.31251199063,103.763268837
106,HDB-JURONG WEST,1.3430942097,103.698866099
107,HDB-SEMBAWANG,1.44511920743,103.822259562
108,HDB-YISHUN,1.43278627526,103.833132901
109,HEAP SENG HOUSE,1.29851292298,103.856115962
110,HEDGES PARK CONDOMINIUM,1.35547310958,103.967277075
111,HENRY PARK,1.31268627217,103.783527013
112,HERITAGE COURT,1.27731365505,103.844675388
113,HILLVIEW GARDEN ESTATE,1.3579651737,103.758249766
114,HOLLAND GREEN,1.32575974789,103.784219506
115,HOLLAND GROVE PARK,1.31349183807,103.781111506
116,HOMES AT EASTWOOD ROAD,1.32119669035,103.956898908
117,HOMESTAY LODGE,1.3380660085,103.909679382
118,HONG KONG PARK,1.34136230704,103.785885363
119,HOOT KIAM GARDEN,1.29632303477,103.830019982
120,HOOVER PARK,1.34414705554,103.772013505
121,HORIZON GARDENS,1.37685797505,103.833601317
122,HOUGANG CAPEVIEW,1.37732845211,103.904212191
123,HOUGANG CRIMSON,1.37526558111,103.881750957
124,HOUGANG SPRING,1.37596449466,103.887423583
125,Holy Family Kindergarten,1.30680768102,103.906924697
126,JALAN KAYU ESTATE,1.39852053598,103.872386763
127,JERVOISVILLE,1.29469687994,103.822732213
128,JI CHANG VILLA,1.31427872605,103.925651501
129,JULUCA,1.29171319157,103.772675549
130,KAKI BUKIT GREEN,1.33156151135,103.929115263
131,KAKI BUKIT INDUSTRIAL PARK,1.33551448404,103.902187855
132,KALLANG PARK,1.30135036736,103.879105677
133,KEAT HONG CREST,1.37519765849,103.742624106
134,KELULUT HILL,1.38397657156,103.872955501
135,KEMBANGAN VILLAS,1.32382869356,103.912909907
136,KENT RIDGE SECONDARY SCHOOL,1.30122773426,103.764889618
137,KEW GREEN,1.31852580469,103.950533927
138,KEW GROVE,1.32045899506,103.951233645
139,KIDSKINGDOM @BEDOK RESERVOIR LLP,1.34477466443,103.955130208
140,KIM KEAT COURT,1.33904479783,103.855541063
141,KRISLITE BUILDING,1.3722581435,103.970067096
142,Kizroo Kindergarten,1.33879673524,103.793256123
143,LA CASA,1.43234478105,103.797946768
144,LADYHILL PARK,1.31064752882,103.824203459
145,LATITUDE,1.29636917999,103.828426329
146,LEICESTER LODGE,1.32998564777,103.86687543
147,LHK 2,1.33647901098,103.886574999
148,LILAC PARK,1.38235799365,103.862342269
149,LIMAU PARK,1.32234395319,103.947972717
150,LLYN GARDENS,1.34892481725,103.881853688
151,LOYANG ENTERPRISE BUILDING,1.38041138519,103.976687005
152,LUCKY PARK,1.32894775835,103.792955939
153,LUXUS HILLS,1.38107979694,103.873398357
154,MACPHERSON GARDEN ESTATE,1.33227308176,103.881228239
155,MAGHAIN ABOTH SYNAGOGUE,1.29824645365,103.850683147
156,MARGATE TERRACE,1.29793725494,103.888525761
157,MAYFLOWER GARDENS,1.37060865858,103.840424887
158,MCMAHON PARK,1.31722731373,103.786976503
159,MCNAIR TOWERS,1.32016531683,103.859859632
160,MEDALLION,1.34395096789,103.862238356
161,MEDWAY PARK,1.30589865547,103.776731259
162,MERA TERRACE,1.3480560387,103.964721808
163,MERIDIAN 38,1.31030754276,103.910857272
164,MODERN MONTESSORI PRE SCHOOL CENTRE,1.39219790867,103.898456294
165,MOSQUE,1.21928462289,103.849158037
166,MOUNT SINAI,1.31802680766,103.780651093
167,NANYANG ACADEMY OF FINE ARTS,1.30003103414,103.851653495
168,NANYANG TECHNOLOGICAL UNIVERSITY (NANYANG HEIGHTS STAFF HOUSING),1.35072931821,103.686213141
169,NATIONAL UNIVERSITY OF SINGAPORE (S11),1.29672227779,103.778699307
170,NATIONAL UNIVERSITY POLYCLINICS (PIONEER POLYCLINIC),1.33856179502,103.699014641
171,NCB BUILDING,1.37507966795,103.971250264
172,NEWTON MANSION,1.31741884009,103.838383379
173,NICON GARDENS,1.37783113704,103.758070324
174,NIGHTINGALE NURSING CENTRE,1.34470915682,103.865181278
175,NIM COLLECTION,1.37954330916,103.863362134
176,NOVENA HILL,1.32376633232,103.843393017
177,OASIS @ MULBERRY,1.33308235466,103.877540753
178,OCBC Frankel - Esso Station,1.3110550503,103.920293113
179,OCBC Toa Payoh Lorong 4 - FairPrice,1.33169008196,103.850619807
180,OEI TIONG HAM PARK,1.31736518481,103.79448924
181,ONAN COURT,1.30918594056,103.902335983
182,ONE SURIN,1.35420931233,103.879412093
183,ORANGE GROVE RESIDENCES,1.31395037191,103.824840572
184,ORCHID VILLAGE,1.33369071586,103.79983337
185,PAGODA HOUSE,1.28320427093,103.844449013
186,PALMS @ SIXTH AVENUE,1.32391590453,103.792626713
187,PANDAN LOOP INDUSTRIAL ESTATE,1.30787902193,103.75620669
188,PARK VILLAS,1.36802390178,103.87680463
189,PASIR PANJANG COURT,1.29233196603,103.772617739
190,PASIR PANJANG GARDENS,1.3083635641,103.761757853
191,PASIR PANJANG WHOLESALE CENTRE,1.28470595667,103.777004808
192,PCF SPARKLETOTS PRESCHOOL @ TAMPINES NORTH Blk 483 (KN),1.36143339783,103.952685918
193,PEAKVIEW ESTATE,1.33080448336,103.943346501
194,PEAKVILLE PARK,1.33253824223,103.944439638
195,PICARDY GARDENS,1.33425849365,103.947719165
196,POH CHUNG TIAN CHOR SIAN TONG,1.33194673766,103.856149839
197,POH HUAT GARDENS,1.36767785669,103.881156407
198,POLLUTION CONTROL DEPARTMENT,1.31056745934,103.836104054
199,POTONG PASIR NEIGHBOURHOOD POLICE POST,1.33312018049,103.866911289
200,PRE-SCHOOL BY-THE-PARK PTE. LTD.,1.32672697822,103.810688683
201,PRIVÃ‰,1.40148828472,103.904338396
202,Preschool Learning Academy @Temasek Polytechnic,1.34793948356,103.92883998
203,QUEEN ASTRID GARDENS,1.31845212443,103.789785805
204,RAFFLES INSTITUTION BOARDING,1.34694171193,103.84379326
205,RAFFLES MEDICAL 24-HR CLINIC (CHANGI AIRPORT),1.35622640396,103.986102024
206,RAFFLES PARK,1.33417360987,103.803641289
207,REGAL 35,1.31533641754,103.88831419
208,RESIDENCE 81,1.31688932688,103.907863133
209,RIA TOWNHOUSES,1.32544763247,103.954987885
210,RIO VISTA,1.37285752247,103.901874794
211,RIVERGATE,1.29096178974,103.836573041
212,RIVERVALE PLAINS,1.3885545776,103.905281951
213,SAINT ELMO'S CHILD CARE,1.37607144536,103.88092441
214,SAINT PATRICK'S COURT,1.30816008691,103.912217322
215,SCAL DORMITORY (MANDAI),1.41047034955,103.758750368
216,SCAL RECREATION CENTRE,1.33261399796,103.699115187
217,SEA BREEZE TERRACE,1.33800945514,103.952942308
218,SEA HORIZON,1.37664840418,103.958800774
219,SEMBAWANG STRAITS ESTATE,1.45792826457,103.836977176
220,SHAMROCK PARK,1.32670559613,103.793632646
221,SHELL YISHUN RING,1.42961544508,103.830029544
222,SIGLAP PARK,1.31669661321,103.930225116
223,SIGLAP SOUTH COMMUNITY CENTRE,1.31315895325,103.930623467
224,SILRA HOME,1.38029719286,103.884841952
225,SIN CHUAN GARDEN,1.32273161566,103.918611135
226,SINDO INDUSTRIAL ESTATE,1.38454395971,103.82884721
227,SINGAPORE PRISON SERVICE (HEADQUARTERS),1.35469684499,103.969691074
228,SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN (SUTD),1.34067686029,103.9629959
229,SKY VISTA @ BUKIT BATOK,1.34936750241,103.745347359
230,SOUTH UNION PARK,1.31581038169,103.925469437
231,SPRING PARK ESTATE,1.31510223077,103.937584584
232,SPRINGWOOD,1.27913380223,103.791233244
233,SRI GURU SINGH SABHA,1.30369537509,103.846832826
234,SUNGEI KADUT INDUSTRIAL ESTATE,1.41295130517,103.750281796
235,Stepping Stones Education Centre,1.3187358368,103.945086743
236,TAI HWAN GARDEN,1.35780797795,103.861278708
237,TAI KENG VILLAS,1.34724278377,103.880886983
238,TAI PENG GARDENS,1.36262318044,103.889481032
239,TAMIL METHODIST CHURCH,1.30200199994,103.850657684
240,TAMPINES PALMWALK,1.35010171478,103.935397838
241,TAMPINES VILLE,1.35215736919,103.935923498
242,TANGLIN GROVE,1.29810641144,103.799781004
243,TATIANA TERRACE,1.32965398686,103.907078588
244,TECK WHYE SECONDARY SCHOOL,1.38308917947,103.755330021
245,TEMBELING MANSIONS,1.30798581965,103.904270012
246,THE BRITISH CLUB,1.34579066542,103.792630332
247,THE CORIS,1.38113503189,103.896831355
248,THE DAULAT,1.30475110314,103.852855138
249,THE FORD @ HOLLAND,1.31378490214,103.793736308
250,THE INFINITI,1.31901767307,103.755388708
251,THE INGLEWOOD,1.36107223651,103.829729584
252,THE INSTITUTION OF ENGINEERS SINGAPORE,1.3451778853,103.790537165
253,THE MEADOWS,1.39860069704,103.916203276
254,THE PATERSON EDGE,1.30259284878,103.829675836
255,THE POIZ RESIDENCES,1.33202729656,103.868659488
256,THE RIVERINA,1.37866928224,103.943794357
257,THE SEAWIND,1.31122756075,103.914626022
258,THE SPRINGFIELD,1.33237805342,103.949188934
259,THE STELLAR,1.29317699902,103.76772967
260,THE SULTAN,1.30317536902,103.86100245
261,THE TENERIFFE,1.32647701459,103.791033436
262,THE WHITLEY RESIDENCES,1.32642596801,103.838001213
263,THE WOODS,1.35180970187,103.697444007
264,THOMSON GARDEN ESTATE,1.35464337262,103.83667328
265,THOMSON HILLS ESTATE,1.37920092537,103.834546242
266,THOMSON PARK,1.35583902497,103.834642107
267,THOMSON VIEW CONDOMINIUM,1.35796541415,103.829302838
268,TIONG BAHRU ESTATE,1.28360195077,103.834988621
269,TREVOSE PLACE,1.3277556714,103.821488343
270,TRINITY @ LAVENDER,1.31140481875,103.861921501
271,TRIVELIS,1.31944669077,103.765649446
272,TUAS COVE INDUSTRIAL CENTRE,1.31860611692,103.629568588
273,Tri-Love Student Care @ North View Primary School,1.42752326592,103.848190791
274,UE SQUARE,1.29273198718,103.842250095
275,UOB SPC Commonwealth,1.30571897968,103.795158245
276,VALLEY LODGE,1.29468505172,103.841406024
277,VICTORY VILLE,1.36346007765,103.973324396
278,VILLA D'ESTE,1.31629116049,103.825191128
279,VILLA VERDE,1.38997785269,103.751912977
280,VISTA 18,1.30191787713,103.763073374
281,WATERBAY,1.40126147753,103.907492151
282,WATERLOO CENTRE,1.29869445252,103.852082013
283,WATERVIEW,1.3485675304,103.926675326
284,WATTEN ESTATE,1.32995294282,103.808876137
285,WENYA,1.35266387212,103.704448082
286,WEST RIDGES @ BUKIT BATOK,1.35713364367,103.73797274
287,WHAMPOA DEW,1.32442570073,103.854812563
288,WHITEWATER,1.3801987437,103.935175887
289,WIMBORNE VILLAS,1.30469889071,103.886415839
290,WOODHAVEN,1.43071195233,103.783686417
291,WOODLANDS GLADE,1.44833211058,103.80230049
292,WOODLEIGH MRT STATION  (NE11),1.33919004519,103.870818309
293,YEW TEE INDUSTRIAL ESTATE,1.39835594563,103.753155563
294,YIO CHU KANG TERRACE,1.35861851514,103.875238519
